,growth_factor_fmp,inflation_factor_fmp,real_rates_factor_fmp,credit_factor_fmp,currency_factor_fmp,liquidity_factor_fmp,tail_risk_factor_fmp,growth,inflation,real_rates,credit,currency,liquidity,tail_risk
1973-03-31,3.033834658,-2.495799805,0.035018962,-1.814091403,-1.095383989,7.250913097,6.480297844,-0.17214272,2.910825867,0.437403807,-0.05695458,-0.095209356,-1.04043976,0.328413677
1973-04-30,-1.019841629,-1.972283547,0.121450068,-0.895226733,-0.264748805,-0.777053171,7.002438768,-0.876908213,1.752139506,-0.090837459,0.539890389,0.183426225,-1.587501108,0.398985024
1973-05-31,-0.811612076,0.316017334,0.875131288,0.612189921,-5.257592629,2.405984526,1.596582222,-1.220379548,0.705677896,0.943494718,-1.861727625,-2.776663865,-1.221087707,0.089757377
1973-06-30,-0.465060652,0.251480272,0.057162858,1.87740757,-6.218735707,3.345554235,2.423531043,-0.042126352,1.666275144,-1.498679532,0.260922905,-3.994333086,-1.000451822,0.07908178
1973-07-31,-1.256254204,1.826524834,1.699295635,-0.144136546,-3.135727783,-8.931290433,-3.228566569,-2.607993542,-1.796474224,1.208464438,-1.415396659,-0.350053436,0.773724442,1.057811423
1973-08-31,-0.42384812,5.149650206,-1.35155066,-0.131924751,6.321480389,-5.398491574,-4.015566198,1.622078169,4.792212551,-1.117876542,-0.11790308,2.705835933,-0.653125061,1.856726498
1973-09-30,-0.638525835,0.234010572,-1.111418979,0.757227338,-0.244259393,-4.935949524,-1.241387145,0.191753152,0.015003151,-1.59504802,3.412416297,-1.129408698,0.24033665,-0.678126015
1973-10-31,0.271375729,-0.219918997,-0.236065568,-0.123231499,0.874992785,2.252581348,-0.742018239,0.844801026,1.668090941,-0.849838498,1.840342504,-0.218981981,1.233875004,-1.098347684
1973-11-30,3.026960748,1.873832054,-0.074048556,0.825055722,6.36063644,7.729679303,0.652197075,0.554393276,0.971927393,-0.115972926,1.026911477,2.91000854,0.456768411,0.749877398
1973-12-31,6.338133034,-0.643655263,-0.962672581,-1.228253744,-0.719144208,4.645119832,4.270063021,-1.654581531,1.58719471,-1.413065175,0.221954154,1.361790774,1.813419655,0.553801949
1974-01-31,-8.334022039,28.60452596,-2.132908606,-4.750200477,2.532403479,-24.09268958,-17.79155107,-0.599340724,2.122573592,-0.711626278,-1.780494002,2.256820539,1.292392656,1.878996363
1974-02-28,-0.17513556,0.076668541,0.258566298,1.169915418,-5.470886873,4.766470103,1.921504208,-1.267358124,2.013297366,-0.501445178,0.645400562,-2.541811521,-0.119665197,-1.00763731
1974-03-31,-0.276569877,-0.837591292,1.395637134,0.93953365,-3.10650953,5.597669027,4.09259139,1.048268428,1.91938388,1.351964364,-1.28620785,-2.827555544,-0.44303634,0.653654327
1974-04-30,-1.724976545,-2.127582795,1.158493052,-1.409522278,0.153919715,-0.959670376,5.338200157,-0.718498226,0.411697005,0.88348604,-0.583862367,-1.500967786,-1.422254852,0.83130789
1974-05-31,8.692010278,-0.552425595,-0.871047059,-1.557994512,4.62475812,11.13645012,1.840105149,-1.477065059,1.57048553,-0.618787321,0.798402312,0.622892109,0.352437838,0.146147239
